distribution,algorithm,variant,size_label,size,condition,runs,time_min_s,time_avg_s,time_max_s,memory_mb,comparisons,swaps,stable_verified,known_stable,complexity_best,complexity_avg,complexity_worst,complexity_space,status
sequential,Shaker Sort,iterative,10,10,reverse,50,0.00002140,0.00002246,0.00003670,0.0001,45,45,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,10,10,reverse,50,0.00000470,0.00000721,0.00002940,0.0002,10,10,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,10,10,reverse,50,0.00000620,0.00000805,0.00003080,0.0003,0,10,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,10,10,reverse,50,0.00001730,0.00002135,0.00006140,0.0001,45,45,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,10,10,nearly_sorted,50,0.00001890,0.00001952,0.00003010,0.0001,53,26,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,10,10,nearly_sorted,50,0.00001730,0.00002443,0.00006660,0.0001,53,26,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,10,10,nearly_sorted,50,0.00001990,0.00002177,0.00005140,0.0002,19,49,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,10,10,nearly_sorted,50,0.00002130,0.00002790,0.00006870,0.0002,21,51,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,10,10,nearly_sorted,50,0.00001860,0.00002398,0.00006240,0.0001,41,31,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,10,10,nearly_sorted,50,0.00000470,0.00000674,0.00002560,0.0001,17,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,10,10,nearly_sorted,50,0.00001220,0.00001913,0.00004220,0.0001,45,6,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,10,10,nearly_sorted,50,0.00000290,0.00000560,0.00002460,0.0001,10,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,10,10,nearly_sorted,50,0.00000630,0.00001014,0.00003510,0.0001,17,1,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,10,10,nearly_sorted,50,0.00000450,0.00000677,0.00002580,0.0002,10,10,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,10,10,nearly_sorted,50,0.00000660,0.00000846,0.00003400,0.0003,0,10,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,10,10,nearly_sorted,50,0.00000300,0.00000491,0.00003170,0.0001,10,1,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,10,10,all_identical,50,0.00000490,0.00000551,0.00002100,0.0001,23,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,10,10,all_identical,50,0.00000510,0.00000798,0.00001450,0.0001,23,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,10,10,all_identical,50,0.00001990,0.00002226,0.00004730,0.0002,19,49,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,10,10,all_identical,50,0.00002150,0.00002528,0.00006790,0.0002,21,51,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,10,10,all_identical,50,0.00001240,0.00001511,0.00003950,0.0001,24,9,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,10,10,all_identical,50,0.00000260,0.00000274,0.00000590,0.0001,9,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,10,10,all_identical,50,0.00001150,0.00001252,0.00002450,0.0001,45,0,stable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,10,10,all_identical,50,0.00000260,0.00000284,0.00000520,0.0001,9,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,10,10,all_identical,50,0.00000250,0.00000266,0.00000640,0.0001,9,0,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,10,10,all_identical,50,0.00000460,0.00000649,0.00001460,0.0001,10,10,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,10,10,all_identical,50,0.00000070,0.00000137,0.00002090,0.0001,0,0,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,10,10,all_identical,50,0.00000280,0.00000299,0.00000730,0.0001,9,0,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
